Entity,Code,Year,Working_Hours,GDP,Population,Continent
Argentina,ARG,1950,2034.0,2600.2993,17037910.0,
Argentina,ARG,1951,2037.8667,2608.6318,17390378.0,
Argentina,ARG,1952,2041.7408,2332.4087,17742980.0,
Argentina,ARG,1953,2045.6223,2439.375,18094290.0,
Argentina,ARG,1954,2049.5112,2503.2183,18443313.0,
Argentina,ARG,1955,2053.4075,2636.3320000000003,18789415.0,
Argentina,ARG,1956,2057.311,2657.2512,19132405.0,
Argentina,ARG,1957,2061.2222,2748.3992,19472473.0,
Argentina,ARG,1958,2065.1406,2907.3999,19810165.0,
Argentina,ARG,1959,2069.0667,2693.7075,20146307.0,
Argentina,ARG,1960,2073.0,2851.4932,20481781.0,
Argentina,ARG,1961,2066.2004,2897.1411,20817270.0,
Argentina,ARG,1962,2059.4233,2903.8455,21153042.0,
Argentina,ARG,1963,2052.6685,2758.0132,21488916.0,
Argentina,ARG,1964,2045.9355,2853.7334,21824427.0,
Argentina,ARG,1965,2039.2249,3157.0315,22159644.0,
Argentina,ARG,1966,2032.5361,3179.866,22494031.0,
Argentina,ARG,1967,2025.8694,3241.2068,22828872.0,
Argentina,ARG,1968,2019.2245,3289.5591,23168268.0,
Argentina,ARG,1969,2012.6013,3562.4231,23517613.0,
Argentina,ARG,1970,2006.0,3611.5322,23880564.0,
Argentina,ARG,1971,2002.6611,3660.4167,24259564.0,
Argentina,ARG,1972,1999.3278,3661.5789,24653172.0,
Argentina,ARG,1973,1996.0,3801.1082,25056475.0,
Argentina,ARG,1974,1992.8422,3912.7463,25462305.0,
Argentina,ARG,1975,1989.6893,3800.7595,25865775.0,
Argentina,ARG,1976,1986.5415,3749.0464,26264681.0,
Argentina,ARG,1977,1983.3987,3948.0234,26661397.0,
Argentina,ARG,1978,1980.2609,3831.0532,27061041.0,
Argentina,ARG,1979,1977.1279,4016.116,27471046.0,
Argentina,ARG,1980,1974.0,3978.3108,27896532.0,
Argentina,ARG,1981,1961.2301,3948.0635,28338514.0,
Argentina,ARG,1982,1948.5427,4077.5071,28794550.0,
Argentina,ARG,1983,1935.9375,4349.3804,29262049.0,
Argentina,ARG,1984,1923.4137,4562.4604,29737097.0,
Argentina,ARG,1985,1910.9711,4387.3833,30216284.0,
Argentina,ARG,1986,1898.6089,4807.127,30698964.0,
Argentina,ARG,1987,1886.3267,5042.3491,31184411.0,
Argentina,ARG,1988,1874.1238,5290.8257,31668939.0,
Argentina,ARG,1989,1862.0,5018.7002,32148137.0,
Argentina,ARG,1990,1850.0,5553.8428,32618648.0,
Argentina,ARG,1991,1837.9608,6446.5576,33079002.0,
Argentina,ARG,1992,1826.0,7489.8384,33529320.0,
Argentina,ARG,1993,1850.3378,8488.1758,33970103.0,
Argentina,ARG,1994,1875.0,9765.499,34402669.0,
Argentina,ARG,1995,1881.9612,10810.947,34828168.0,
Argentina,ARG,1996,1888.9481,13809.471000000001,35246376.0,
Argentina,ARG,1997,1895.9611,14092.541000000001,35657438.0,
Argentina,ARG,1998,1903.0,13905.521,36063451.0,
Argentina,ARG,1999,1887.285,12945.701000000001,36467218.0,
Argentina,ARG,2000,1862.1362,12719.655,36870796.0,
Argentina,ARG,2001,1811.1526,11823.235,37275644.0,
Argentina,ARG,2002,1710.0365,10015.692,37681743.0,
Argentina,ARG,2003,1713.5746,10747.38,38087866.0,
Argentina,ARG,2004,1730.8173,11629.042,38491970.0,
Argentina,ARG,2005,1761.3994,12511.982,38892924.0,
Argentina,ARG,2006,1765.6013,13452.63,39289876.0,
Argentina,ARG,2007,1780.5565,14658.496000000001,39684303.0,
Argentina,ARG,2008,1781.4246,15489.021999999999,40080159.0,
Argentina,ARG,2009,1742.9043,14300.919,40482786.0,
Argentina,ARG,2010,1751.7655,15841.659,40895751.0,
Argentina,ARG,2011,1750.9741,17035.814,41320497.0,
Argentina,ARG,2012,1726.2584,16968.105,41755188.0,
Argentina,ARG,2013,1714.8711,16920.756,42196034.0,
Argentina,ARG,2014,1695.364,16233.318000000001,42637508.0,
Argentina,ARG,2015,1691.5363,16414.078,43075416.0,South America
Argentina,ARG,2016,1691.5363,16085.712,43508459.0,
