Code,Entity,Continent
OWID_ABK,Abkhazia,Asia
AFG,Afghanistan,Asia
OWID_AKD,Akrotiri and Dhekelia,Asia
ALB,Albania,Europe
DZA,Algeria,Africa
ASM,American Samoa,Oceania
AND,Andorra,Europe
AGO,Angola,Africa
AIA,Anguilla,North America
ATG,Antigua and Barbuda,North America
ARG,Argentina,South America
ARM,Armenia,Asia
ABW,Aruba,North America
AUS,Australia,Oceania
AUT,Austria,Europe
OWID_AUH,Austria-Hungary,Europe
AZE,Azerbaijan,Asia
OWID_BAD,Baden,Europe
BHS,Bahamas,North America
BHR,Bahrain,Asia
BGD,Bangladesh,Asia
BRB,Barbados,North America
OWID_BAV,Bavaria,Europe
BLR,Belarus,Europe
BEL,Belgium,Europe
BLZ,Belize,North America
BEN,Benin,Africa
BMU,Bermuda,North America
BTN,Bhutan,Asia
BOL,Bolivia,South America
BES,Bonaire Sint Eustatius and Saba,North America
BIH,Bosnia and Herzegovina,Europe
BWA,Botswana,Africa
BRA,Brazil,South America
IOT,British Indian Ocean Territory,Asia
VGB,British Virgin Islands,North America
BRN,Brunei,Asia
BGR,Bulgaria,Europe
BFA,Burkina Faso,Africa
BDI,Burundi,Africa
KHM,Cambodia,Asia
CMR,Cameroon,Africa
CAN,Canada,North America
CPV,Cape Verde,Africa
CYM,Cayman Islands,North America
CAF,Central African Republic,Africa
TCD,Chad,Africa
OWID_CIS,Channel Islands,Europe
CHL,Chile,South America
CHN,China,Asia
CXR,Christmas Island,Asia
CCK,Cocos Islands,Asia
COL,Colombia,South America
COM,Comoros,Africa
COG,Congo,Africa
COK,Cook Islands,Oceania
CRI,Costa Rica,North America
CIV,Cote d'Ivoire,Africa
HRV,Croatia,Europe
CUB,Cuba,North America
CUW,Curacao,North America
CYP,Cyprus,Europe
CZE,Czechia,Europe
OWID_CZS,Czechoslovakia,Europe
COD,Democratic Republic of Congo,Africa
DNK,Denmark,Europe
DJI,Djibouti,Africa
DMA,Dominica,North America
DOM,Dominican Republic,North America
OWID_GDR,East Germany,Europe
ECU,Ecuador,South America
EGY,Egypt,Africa
SLV,El Salvador,North America
GNQ,Equatorial Guinea,Africa
ERI,Eritrea,Africa
OWID_ERE,Eritrea and Ethiopia,Africa
EST,Estonia,Europe
SWZ,Eswatini,Africa
ETH,Ethiopia,Africa
FRO,Faeroe Islands,Europe
FLK,Falkland Islands,South America
FJI,Fiji,Oceania
FIN,Finland,Europe
FRA,France,Europe
GUF,French Guiana,South America
PYF,French Polynesia,Oceania
GAB,Gabon,Africa
GMB,Gambia,Africa
GEO,Georgia,Asia
DEU,Germany,Europe
GHA,Ghana,Africa
GIB,Gibraltar,Europe
GRC,Greece,Europe
GRL,Greenland,North America
GRD,Grenada,North America
GLP,Guadeloupe,North America
GUM,Guam,Oceania
GTM,Guatemala,North America
GGY,Guernsey,Europe
GIN,Guinea,Africa
GNB,Guinea-Bissau,Africa
GUY,Guyana,South America
HTI,Haiti,North America
OWID_HAN,Hanover,Europe
OWID_HSE,Hesse Electoral,Europe
OWID_HSG,Hesse Grand Ducal,Europe
HND,Honduras,North America
HKG,Hong Kong,Asia
HUN,Hungary,Europe
ISL,Iceland,Europe
IND,India,Asia
IDN,Indonesia,Asia
IRN,Iran,Asia
IRQ,Iraq,Asia
IRL,Ireland,Europe
IMN,Isle of Man,Europe
ISR,Israel,Asia
ITA,Italy,Europe
JAM,Jamaica,North America
JPN,Japan,Asia
JEY,Jersey,Europe
JOR,Jordan,Asia
KAZ,Kazakhstan,Asia
KEN,Kenya,Africa
KIR,Kiribati,Oceania
OWID_KOS,Kosovo,Europe
KWT,Kuwait,Asia
KGZ,Kyrgyzstan,Asia
LAO,Laos,Asia
LVA,Latvia,Europe
LBN,Lebanon,Asia
LSO,Lesotho,Africa
LBR,Liberia,Africa
LBY,Libya,Africa
LIE,Liechtenstein,Europe
LTU,Lithuania,Europe
LUX,Luxembourg,Europe
MAC,Macao,Asia
MDG,Madagascar,Africa
MWI,Malawi,Africa
MYS,Malaysia,Asia
MDV,Maldives,Asia
MLI,Mali,Africa
MLT,Malta,Europe
MHL,Marshall Islands,Oceania
MTQ,Martinique,North America
MRT,Mauritania,Africa
MUS,Mauritius,Africa
MYT,Mayotte,Africa
OWID_MEC,Mecklenburg Schwerin,Europe
MEX,Mexico,North America
FSM,Micronesia (country),Oceania
OWID_MOD,Modena,Europe
MDA,Moldova,Europe
MCO,Monaco,Europe
MNG,Mongolia,Asia
MNE,Montenegro,Europe
MSR,Montserrat,North America
MAR,Morocco,Africa
MOZ,Mozambique,Africa
MMR,Myanmar,Asia
OWID_NAG,Nagorno-Karabakh,Asia
NAM,Namibia,Africa
NRU,Nauru,Oceania
NPL,Nepal,Asia
NLD,Netherlands,Europe
ANT,Netherlands Antilles,North America
NCL,New Caledonia,Oceania
NZL,New Zealand,Oceania
NIC,Nicaragua,North America
NER,Niger,Africa
NGA,Nigeria,Africa
NIU,Niue,Oceania
NFK,Norfolk Island,Oceania
PRK,North Korea,Asia
MKD,North Macedonia,Europe
OWID_CYN,Northern Cyprus,Asia
MNP,Northern Mariana Islands,Oceania
NOR,Norway,Europe
OMN,Oman,Asia
PAK,Pakistan,Asia
PLW,Palau,Oceania
PSE,Palestine,Asia
PAN,Panama,North America
PNG,Papua New Guinea,Oceania
PRY,Paraguay,South America
OWID_PMA,Parma,Europe
PER,Peru,South America
PHL,Philippines,Asia
PCN,Pitcairn,Oceania
POL,Poland,Europe
PRT,Portugal,Europe
PRI,Puerto Rico,North America
QAT,Qatar,Asia
OWID_RVN,Republic of Vietnam,Asia
REU,Reunion,Africa
ROU,Romania,Europe
RUS,Russia,Europe
RWA,Rwanda,Africa
BLM,Saint Barthélemy,North America
SHN,Saint Helena,Africa
KNA,Saint Kitts and Nevis,North America
LCA,Saint Lucia,North America
MAF,Saint Martin (French part),North America
SPM,Saint Pierre and Miquelon,North America
VCT,Saint Vincent and the Grenadines,North America
WSM,Samoa,Oceania
SMR,San Marino,Europe
STP,Sao Tome and Principe,Africa
SAU,Saudi Arabia,Asia
OWID_SAX,Saxony,Europe
SEN,Senegal,Africa
SRB,Serbia,Europe
OWID_SRM,Serbia and Montenegro,Europe
OWID_SEK,Serbia excluding Kosovo,Europe
SYC,Seychelles,Africa
SLE,Sierra Leone,Africa
SGP,Singapore,Asia
SXM,Sint Maarten (Dutch part),North America
SVK,Slovakia,Europe
SVN,Slovenia,Europe
SLB,Solomon Islands,Oceania
SOM,Somalia,Africa
OWID_SML,Somaliland,Africa
ZAF,South Africa,Africa
SGS,South Georgia and the South Sandwich Islands,South America
KOR,South Korea,Asia
OWID_SOS,South Ossetia,Asia
SSD,South Sudan,Africa
ESP,Spain,Europe
LKA,Sri Lanka,Asia
SDN,Sudan,Africa
SUR,Suriname,South America
SJM,Svalbard and Jan Mayen,Europe
SWE,Sweden,Europe
CHE,Switzerland,Europe
SYR,Syria,Asia
TWN,Taiwan,Asia
TJK,Tajikistan,Asia
TZA,Tanzania,Africa
THA,Thailand,Asia
TLS,Timor,Asia
TGO,Togo,Africa
TKL,Tokelau,Oceania
TON,Tonga,Oceania
OWID_TRS,Transnistria,Europe
TTO,Trinidad and Tobago,North America
TUN,Tunisia,Africa
TUR,Turkey,Asia
TKM,Turkmenistan,Asia
TCA,Turks and Caicos Islands,North America
OWID_TUS,Tuscany,Europe
TUV,Tuvalu,Oceania
OWID_SIC,Two Sicilies,Europe
OWID_USS,USSR,Europe
UGA,Uganda,Africa
UKR,Ukraine,Europe
ARE,United Arab Emirates,Asia
GBR,United Kingdom,Europe
OWID_KRU,United Korea,Asia
USA,United States,North America
UMI,United States Minor Outlying Islands,Oceania
VIR,United States Virgin Islands,North America
URY,Uruguay,South America
UZB,Uzbekistan,Asia
VUT,Vanuatu,Oceania
VAT,Vatican,Europe
VEN,Venezuela,South America
VNM,Vietnam,Asia
WLF,Wallis and Futuna,Oceania
OWID_GFR,West Germany,Europe
ESH,Western Sahara,Africa
OWID_WRT,Wuerttemburg,Europe
YEM,Yemen,Asia
OWID_YAR,Yemen Arab Republic,Asia
OWID_YPR,Yemen People's Republic,Asia
OWID_YGS,Yugoslavia,Europe
ZMB,Zambia,Africa
OWID_ZAN,Zanzibar,Africa
ZWE,Zimbabwe,Africa
ALA,Åland Islands,Europe
